Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-07 10:30,Short Exit,19841.5,1,400380,3540,0.88,3545,0.89,-325,-0.08,3540,3.54
1,Entry short,2025-03-07 10:00,Short,20019,1,400380,3540,0.88,3545,0.89,-325,-0.08,3540,3.54
2,Exit short,2025-03-11 10:00,Short Exit,19419,1,386425,-1965,-0.51,1130,0.29,-1960,-0.51,1575,1.58
2,Entry short,2025-03-11 09:30,Short,19321.25,1,386425,-1965,-0.51,1130,0.29,-1960,-0.51,1575,1.58
3,Exit short,2025-04-03 10:30,Short Exit,18873.25,1,375310,-2165,-0.58,905,0.24,-2160,-0.58,-590,-0.59
3,Entry short,2025-04-03 10:00,Short,18765.5,1,375310,-2165,-0.58,905,0.24,-2160,-0.58,-590,-0.59
4,Exit short,2025-04-04 10:00,Short Exit,18076.75,1,358310,-3235,-0.90,5185,1.45,-3230,-0.90,-3825,-3.82
4,Entry short,2025-04-04 09:30,Short,17915.5,1,358310,-3235,-0.90,5185,1.45,-3230,-0.90,-3825,-3.82
5,Exit long,2025-06-05 11:30,Long Exit,21796.25,1,437175,-1260,-0.29,1520,0.35,-1255,-0.29,-5085,-5.08
5,Entry long,2025-06-05 10:00,Long,21858.75,1,437175,-1260,-0.29,1520,0.35,-1255,-0.29,-5085,-5.08
6,Exit long,2025-06-10 15:30,EOD Close,21947.25,1,438990,-55,-0.01,850,0.19,-780,-0.18,-5140,-5.14
6,Entry long,2025-06-10 14:00,Long,21949.5,1,438990,-55,-0.01,850,0.19,-780,-0.18,-5140,-5.14
7,Exit long,2025-06-11 10:00,Long Exit,21987.25,1,440785,-1050,-0.24,535,0.12,-1045,-0.24,-6190,-6.19
7,Entry long,2025-06-11 09:30,Long,22039.25,1,440785,-1050,-0.24,535,0.12,-1045,-0.24,-6190,-6.19
8,Exit long,2025-06-26 11:00,Long Exit,22632,1,451390,1240,0.27,1245,0.28,-395,-0.09,-4950,-4.95
8,Entry long,2025-06-26 09:30,Long,22569.5,1,451390,1240,0.27,1245,0.28,-395,-0.09,-4950,-4.95
9,Exit long,2025-06-27 09:30,Long Exit,22750.25,1,455675,-680,-0.15,615,0.13,-675,-0.15,-5630,-5.63
9,Entry long,2025-06-27 09:30,Long,22783.75,1,455675,-680,-0.15,615,0.13,-675,-0.15,-5630,-5.63
10,Exit long,2025-06-30 15:30,EOD Close,22870.5,1,457555,-155,-0.03,1135,0.25,-510,-0.11,-5785,-5.78
10,Entry long,2025-06-30 14:30,Long,22877.75,1,457555,-155,-0.03,1135,0.25,-510,-0.11,-5785,-5.78
11,Exit long,2025-09-18 09:30,Long Exit,24739.5,1,495740,-960,-0.19,440,0.09,-955,-0.19,-6745,-6.74
11,Entry long,2025-09-18 09:30,Long,24787,1,495740,-960,-0.19,440,0.09,-955,-0.19,-6745,-6.74
12,Exit long,2025-09-22 11:00,Long Exit,24969.75,1,498075,1310,0.26,1315,0.26,-280,-0.06,-5435,-5.43
12,Entry long,2025-09-22 09:30,Long,24903.75,1,498075,1310,0.26,1315,0.26,-280,-0.06,-5435,-5.43
13,Exit long,2025-10-27 13:00,Long Exit,25931.75,1,517380,1245,0.24,1250,0.24,-360,-0.07,-4190,-4.19
13,Entry long,2025-10-27 09:30,Long,25869,1,517380,1245,0.24,1250,0.24,-360,-0.07,-4190,-4.19
